Tempo_Decorrido_em_Dias,Indice_de_Desperdicio,Preço_unidade,Numero_Incial_de_Lazies,Numero_Inicial_de_Normals,Numero_Incial_de_Renders,Tipo_de_Cliente,Tempo_Maximo_de_Espera,Tempo_de_Espera,Quantidade_Encomendada,Recebida
3.0,0.07,2.0,0,1,3,NORMAL,6000,2751,106,sim
4.0,0.07,2.0,0,1,3,PATIENT,12000,4275,156,sim
5.0,0.07,2.0,0,1,3,NOPATIENT,11000,4365,275,sim
7.0,0.07,2.0,0,1,3,NOPATIENT,18000,6325,452,sim
7.0,0.07,2.0,0,1,3,NORMAL,7000,6362,125,sim
7.0,0.07,2.0,0,1,3,NOPATIENT,19000,6739,484,sim
10.0,0.07,2.0,0,1,3,NORMAL,10000,9307,177,sim
10.0,0.07,2.0,0,1,3,NOPATIENT,27000,9761,701,sim
11.0,0.07,2.0,0,1,3,NORMAL,18000,10765,337,sim
11.0,0.07,2.0,0,1,3,NOPATIENT,11000,11004,277,nao
12.0,0.07,2.0,0,1,3,NOPATIENT,35000,11749,921,sim
14.0,0.07,2.0,0,1,3,NORMAL,16000,13298,300,sim
18.0,0.07,2.0,0,1,3,PATIENT,20000,17780,262,sim
20.0,0.07,2.0,0,1,3,NORMAL,49000,19744,946,sim
22.0,0.07,2.0,0,1,3,NORMAL,23000,21251,439,sim
23.0,0.07,2.0,0,1,3,NORMAL,50000,22764,969,sim
25.0,0.07,2.0,0,1,3,NOPATIENT,38000,24691,982,sim
26.0,0.07,2.0,0,1,3,PATIENT,30000,25689,405,sim
31.0,0.07,2.0,0,1,3,PATIENT,43000,30696,573,sim
37.0,0.07,2.0,0,1,3,NORMAL,45000,36670,861,sim
37.0,0.07,2.0,0,1,3,NORMAL,42000,36810,816,sim
39.0,0.07,2.0,0,1,3,NORMAL,51000,38677,984,sim
48.0,0.07,2.0,0,1,3,PATIENT,60000,47683,812,sim
59.0,0.07,2.0,0,1,3,PATIENT,61000,58693,822,sim
59.0,0.07,2.0,0,1,3,PATIENT,70000,58836,946,sim
3.0,0.07,2.0,0,2,0,NOPATIENT,5000,2599,115,sim
3.0,0.07,2.0,0,2,0,PATIENT,9000,2673,112,sim
3.0,0.07,2.0,0,2,0,NOPATIENT,8000,3288,190,sim
6.0,0.07,2.0,0,2,0,NOPATIENT,13000,5402,319,sim
6.0,0.07,2.0,0,2,0,NORMAL,6000,6003,104,nao
8.0,0.07,2.0,0,2,0,NOPATIENT,19000,7363,496,sim
